Date,State,Confirmed Cases,Predicted Cases
9/15/2020,NY,767,995 
9/16/2020,NY,653,992 
9/17/2020,NY,893,993 
9/18/2020,NY,793,1004 
9/19/2020,NY,983,1012 
9/20/2020,NY,865,1022 
9/21/2020,NY,575,1010 
9/22/2020,NY,751,1002 
9/23/2020,NY,666,998 
9/24/2020,NY,953,1006 
9/25/2020,NY,909,1015 
9/26/2020,NY,1006,1036 
9/27/2020,NY,868,1057 
9/28/2020,NY,836,1089 
9/29/2020,NY,1188,1112 
9/30/2020,NY,1005,1135 
10/1/2020,NY,1383,1159 
10/2/2020,NY,1601,1189 
10/3/2020,NY,1728,1227 
10/4/2020,NY,1226,1276 
10/5/2020,NY,937,1287 
10/6/2020,NY,1394,1276 
10/7/2020,NY,1356,1285 
10/8/2020,NY,1835,1315 
10/9/2020,NY,1593,1350 
10/10/2020,NY,1448,1405 
10/11/2020,NY,1143,1474 
10/12/2020,NY,1032,1514 
10/13/2020,NY,1391,1547 
10/14/2020,NY,1235,1612 
10/15/2020,NY,1464,1716 
10/16/2020,NY,1703,1835 
10/17/2020,NY,1788,1934 
10/18/2020,NY,1390,2040 
10/19/2020,NY,999,2099 
10/20/2020,NY,1201,2159 
10/21/2020,NY,2029,2267 
10/22/2020,NY,1629,2416 
10/23/2020,NY,1636,2571 
10/24/2020,NY,2058,2759 
10/25/2020,NY,1633,2972 
10/26/2020,NY,1192,3122 
10/27/2020,NY,1994,3247 
10/28/2020,NY,2029,3403 
10/29/2020,NY,0,3596 
10/30/2020,NY,0,3770 
10/31/2020,NY,0,3990 
1/21/2020,DC,0,2 
1/22/2020,DC,0,2 
1/23/2020,DC,0,2 
1/24/2020,DC,0,2 
1/25/2020,DC,0,2 
1/26/2020,DC,0,2 
1/27/2020,DC,0,2 
1/28/2020,DC,0,2 
1/29/2020,DC,0,2 
1/30/2020,DC,0,2 
1/31/2020,DC,0,2 
2/1/2020,DC,0,2 
2/2/2020,DC,0,2 
2/3/2020,DC,0,2 
2/4/2020,DC,0,2 
2/5/2020,DC,0,2 
2/6/2020,DC,0,2 
2/7/2020,DC,0,2 
2/8/2020,DC,0,2 
2/9/2020,DC,0,2 
2/10/2020,DC,0,2 
2/11/2020,DC,0,2 
2/12/2020,DC,0,2 
